begintime,managedelement,eutrancellfdd,CSFB Preparation Success Rate,Inter- Frequency HO Out Success Rate,Intra- Frequency HO Out Success Rate,Downlink Traffic Volume,Uplink Traffic Volume,EUtran Cell Availability,ERAB_Drop_%,ERAB_Drop_Enb%,ERAB_Drop_MME%,S1 Signalling Establishment Success Rate,E-RAB Establishment Success Rate,Cell Downlink Average Throughput (mbit/s),Cell Uplink Average Throughput (mbit/s),RACH Success Rate,InterRat HO Out Success Rate (LTE to WCDMA),RAN Data Retainability,MCS,CQI,DL Data PDCP Packet Loss Rate,UL Data PDCP Packet Loss Rate,LATENCY,Data Calls to GSM/WCDMA Rate,VOLTE Retainability,VOLTE DL Data PDCP Packet Loss Rate,VOLTE UL Data PDCP Packet Loss Rate,VOLTE QCI1 E-RAB Establishment Success Rate,SRVCC SR-2G,SRVCC SR-3G,VOLTE Drop Rate,VOLTE Drop,Volte E-RAB Att,VOLTE Avg Users,Volte ERAB Att,EARLANG Traffic,VOLTE QCI5 E-RAB Establishment Success Rate,RE-EST SR (All QCI),RE-EST SR (QCI-1),RE-EST ATT (QCI-1),RE-EST ATT (All QCI),INTRA FREQ HO PREP#,INTER FREQ HO PREP#,INTRA FREQ HO PREP SR,INTER FREQ HO PREP SR,RRC REJECT#,DLPDCP Average User Throughput,ULPDCP Average User Throughput,PRB Utilization_DL,PRB Utilization_UL,UL_RSSI_WEIGHT_DBM_PUCCH,UL_RSSI_WEIGHT_DBM_PUSCH,BLER_UL,Maximum Connected User Number,Maximum DL Traffic Volume (kbit/s),Avg User,S1 based HO Success Rate,BLER_DL,Maximum UL Traffic Volume (kbit/s),RRC Setup Attempt,MIMO Transmission Rank 2 Rate,X2 based HO Success Rate,RRC Setup Success Rate Bin
2020-09-18,ASELYL,ASELY42L,,,71.429,9.2542724609375,0.3646240234375,100.0,0.803,0.0,0.803,100.0,100.0,17312.63,8050.6,100.0,,0.803,23.436,13.525,0.006,0.0,1.55,0.0,50.0,0.112,0.0,100.0,,,50.0,1,3,0.0,3,0.005,100.0,,,0,0,0,0,100.0,,0,27047.68,20372.0,0.4177727777777778,4.660036111111111,-117.107218,-117.755533,0.011,8,17019,3.873611111111111,71.4286,0.146,358,221,,,1
2020-09-18,SILTEL,SILTE22L,100.0,100.0,100.0,735.468505859375,26.805908203125,100.0,0.699,0.0,0.699,100.0,100.0,66966.85,21027.61,99.82456140350877,,0.699,13.514,9.961,0.0,0.0,3.069,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,33707.75,4505.42,12.136031364792315,5.2019675049449,-119.025916,-118.8445,0.051,7,78770,2.9808333333333334,,0.218,21406,565,66.488,,1
2020-09-18,SILOSL,SILOS34L,100.0,100.0,,282.9708251953125,13.468017578125,100.0,0.0,0.0,0.0,100.0,100.0,90149.42,27752.84,100.0,,0.0,13.412,12.218,0.0,0.0,1.499,0.4951,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,,100.0,0,37559.39,31080.28,2.1880175190731843,4.802559480079118,-118.733844,-119.21901,0.008,5,56396,1.7205555555555556,,0.121,2627,196,67.108,,1
2020-09-18,SILTEL,SILTE31L,100.0,,50.0,123.8974609375,3.8170166015625,100.0,0.0,0.0,0.0,100.0,100.0,42015.98,46675.76,83.51648351648352,100.0,0.0,15.879,9.672,0.0,0.0,18.324,44.6809,,,,,,,,0,0,0.0,0,0.0,100.0,0.0,,0,1,2,0,50.0,,0,20837.67,2179.01,2.4954981633229725,5.446686069511161,-117.044584,-119.510406,0.057,3,15045,0.5791666666666667,100.0,0.11,592,65,84.774,,0
2020-09-18,INBASL,INBASGL91,,,100.0,0.017822265625,0.003173828125,100.0,0.0,0.0,0.0,100.0,100.0,3702.55,2744.53,83.33333333333333,,0.0,19.832,13.075,0.0,0.0,3.56,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,100.0,,0,6434.82,,0.5663288888888889,5.200623888888889,-117.706848,-118.381496,0.054,1,132,0.015555555555555555,,0.111,8,3,,,1
2020-09-18,SILTEL,SILTE34L,,100.0,100.0,87.5234375,3.357666015625,100.0,2.564,0.0,2.564,100.0,100.0,21990.33,23808.43,100.0,,2.564,18.32,11.695,0.0,0.0,1.481,5.2632,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,56161.99,10767.26,0.7954755580672506,4.677126306866346,-118.508851,-119.180627,0.015,3,16077,0.9727777777777777,,0.118,603,38,98.826,,1
2020-09-18,SILOSL,SILOS24L,,100.0,100.0,222.834228515625,7.1083984375,100.0,0.0,0.0,0.0,100.0,100.0,101040.24,28507.95,100.0,,0.0,17.08,12.68,0.0,0.0,1.853,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,60644.67,4659.23,1.3158219836111895,4.713170387115004,-119.034204,-119.463782,0.017,3,63173,1.3966666666666667,,0.12,1137,130,91.91,,0
2020-09-18,INBASVL,INBASVL52,,,,0.001220703125,0.00244140625,100.0,0.0,0.0,0.0,100.0,100.0,8944.37,2849.65,100.0,,0.0,26.167,13.015,0.0,0.0,165028.593,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,,,0.2834965268130036,4.600318143928869,-119.026357,-118.968509,0.105,1,5,0.015277777777777777,,0.079,10,1,,,1
2020-09-18,SILOSL,SILOS11L,100.0,,100.0,553.9229736328125,19.0787353515625,100.0,0.0,0.0,0.0,100.0,100.0,54004.62,8300.86,72.28596646072374,100.0,0.0,16.147,12.368,0.0,0.0,4.616,13.5539,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,,0,14099.23,539.22,7.6108352641989265,6.830503532071207,-116.063798,-119.641149,0.119,11,55812,5.407777777777778,,0.137,1060,804,74.269,100.0,0
2020-09-18,SOBTKL,SOBTKJ2L,,,,0.0172119140625,0.0107421875,100.0,0.0,0.0,0.0,100.0,100.0,6310.06,6173.88,100.0,,0.0,27.684,14.983,0.0,0.0,1.039,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,,,0.3712816666666667,4.611544722222222,-113.557096,-112.66223,0.0,2,59,1.0180555555555555,,0.068,23,4,,,1
